Macronutrient,Strain,Cu_level,mean_quota,stdev,SEM,(n())
C:N ratio,Dokonia sp,0.6,4.83998331025,0.5541784139032836,0.2770892069516418,4
C:N ratio,Dokonia sp,2,4.4247576785,0.46363864938893556,0.14661541433532707,10
C:N ratio,Dokonia sp,10,4.344714324533333,0.4035033620315694,0.10418412008579803,15
C:N ratio,Dokonia sp,25,4.5164334833333335,0.37436333574806707,0.12478777858268902,9
C:N ratio,Dokonia sp,50,4.484568899111111,0.16454398727999728,0.054847995759999095,9
Carbon,Dokonia sp,0.6,9.25,1.1783038657324354,0.5891519328662177,4
Carbon,Dokonia sp,2,10.899000000000001,3.7658714499804398,1.1908731157339045,10
Carbon,Dokonia sp,10,7.498,1.0270290022334185,0.2651777481148033,15
Carbon,Dokonia sp,25,8.297777777777778,1.872149685373593,0.624049895124531,9
Carbon,Dokonia sp,50,8.03111111111111,1.5406528197848832,0.5135509399282944,9
Nitrogen,Dokonia sp,0.6,1.9425,0.43099690640807764,0.21549845320403882,4
Nitrogen,Dokonia sp,2,2.496,0.8842975869141689,0.2796394504039482,10
Nitrogen,Dokonia sp,10,1.75,0.3585287396330413,0.09257172251570027,15
Nitrogen,Dokonia sp,25,1.8444444444444443,0.4127987133916211,0.13759957113054036,9
Nitrogen,Dokonia sp,50,1.788888888888889,0.32215851860708433,0.10738617286902812,9
Phosphorous,Dokonia sp,0.1,0.2034204955,0.06730195279624317,0.03365097639812158,4
Phosphorous,Dokonia sp,2,0.19671682440000002,0.22330382060651321,0.09986450450231636,5
Phosphorous,Dokonia sp,10,0.11626623128571428,0.017923070664548842,0.006774283958433343,7
Phosphorous,Dokonia sp,25,0.1474462685,0.023654151315101637,0.009656766836763782,6
Phosphorous,Dokonia sp,50,0.106475409,0.007309311334491914,0.00422003286655969,3
S:P ratio,Dokonia sp,0.1,0.7748236734999999,0.18758249581772665,0.09379124790886333,4
S:P ratio,Dokonia sp,2,1.0888783125,0.4987406495561537,0.20361001756613636,6
S:P ratio,Dokonia sp,10,0.8898810204285714,0.5416962378168587,0.20474193305753002,7
S:P ratio,Dokonia sp,25,0.8295722533333334,0.3644635049251469,0.14879160282215895,6
S:P ratio,Dokonia sp,50,0.6082793753333333,0.05375809239532302,0.03103724911556052,3
Sulfur,Dokonia sp,0.1,0.1602828655,0.06874907458793611,0.034374537293968055,4
Sulfur,Dokonia sp,2,0.16006010939999998,0.16187097169793188,0.07239089926010404,5
Sulfur,Dokonia sp,10,0.10395547828571429,0.0714071725916821,0.02698937435769406,7
Sulfur,Dokonia sp,25,0.12154699933333334,0.059710278297381646,0.02437661903802756,6
Sulfur,Dokonia sp,50,0.06452407833333333,0.002124712451012917,0.0012267033055428573,3
C:N ratio,Pseudoalteromonas sp (26),0.6,3.9046881630000003,0.55288290584277,0.2257135011370038,6
C:N ratio,Pseudoalteromonas sp (26),2,4.547125903333334,0.8796781998474326,0.5078824454821607,3
C:N ratio,Pseudoalteromonas sp (26),10,4.222446999333333,0.3029781836928388,0.1236903255404477,6
C:N ratio,Pseudoalteromonas sp (26),25,4.136864617666666,0.053215979470562925,0.030724260072519105,3
C:N ratio,Pseudoalteromonas sp (26),50,4.0397538966,0.11754119462046643,0.052566020265579105,5
Carbon,Pseudoalteromonas sp (26),0.6,26.25,4.837664725877559,1.9749683541768461,6
Carbon,Pseudoalteromonas sp (26),2,28.466666666666665,3.5557465226494034,2.052911212021709,3
Carbon,Pseudoalteromonas sp (26),10,30.2,14.602328581428374,5.96137568015974,6
Carbon,Pseudoalteromonas sp (26),25,22.066666666666666,0.7767453465154032,0.44845413490245717,3
Carbon,Pseudoalteromonas sp (26),50,26.5,8.072793816269556,3.610263148303735,5
Nitrogen,Pseudoalteromonas sp (26),0.6,6.708333333333334,0.5416056375875963,0.22110957565072675,6
Nitrogen,Pseudoalteromonas sp (26),2,6.483333333333333,1.7752840148363116,1.0249607038537842,3
Nitrogen,Pseudoalteromonas sp (26),10,7.136666666666667,3.2011164718995566,1.3068503272287066,6
Nitrogen,Pseudoalteromonas sp (26),25,5.333333333333333,0.13279056191361416,0.0766666666666668,3
Nitrogen,Pseudoalteromonas sp (26),50,6.5440000000000005,1.900718285280594,0.8500270583928492,5
Phosphorous,Pseudoalteromonas sp (26),0.1,0.557189437,0.10959038696618248,0.06327203941552072,3
Phosphorous,Pseudoalteromonas sp (26),2,0.570848256,0.16035069224800425,0.0925785153341281,3
Phosphorous,Pseudoalteromonas sp (26),10,0.372995147,0.1765862013656725,0.10195209089364447,3
Phosphorous,Pseudoalteromonas sp (26),50,0.50751094,0.02937431877706782,0.02077077999999999,2
S:P ratio,Pseudoalteromonas sp (26),0.1,0.76068206225,0.5078679897030016,0.2539339948515008,4
S:P ratio,Pseudoalteromonas sp (26),2,0.5111676455,0.16737486149160755,0.08368743074580377,4
S:P ratio,Pseudoalteromonas sp (26),10,0.5995944775000001,0.15230678411201626,0.07615339205600813,4
S:P ratio,Pseudoalteromonas sp (26),50,0.40224055400000003,0.01934674841760701,0.013680217000000022,2
Sulfur,Pseudoalteromonas sp (26),0.1,0.28542824133333333,0.0925547090789514,0.05343648620150009,3
Sulfur,Pseudoalteromonas sp (26),2,0.292996048,0.09909587321231493,0.057213029074711055,3
Sulfur,Pseudoalteromonas sp (26),10,0.20405896766666667,0.035801535524989346,0.02067002617275455,3
Sulfur,Pseudoalteromonas sp (26),50,0.2044256305,0.02163422824814373,0.015297709499999992,2
C:N ratio,Pseudoalteromonas sp (P2),0.6,4.981286226,1.6927221233922503,0.9772935736037507,3
C:N ratio,Pseudoalteromonas sp (P2),10,3.670343493,0.08988650103168486,0.05189599556715683,3
C:N ratio,Pseudoalteromonas sp (P2),25,3.535667623,0.3375837326551374,0.19490405892248225,3
Carbon,Pseudoalteromonas sp (P2),0.6,18.776666666666667,10.217173451269844,5.898887842447742,3
Carbon,Pseudoalteromonas sp (P2),10,24.7,3.897435053981016,2.2501851775650232,3
Carbon,Pseudoalteromonas sp (P2),25,21.6,1.2288205727444514,0.7094598884597592,3
Nitrogen,Pseudoalteromonas sp (P2),0.6,3.87,2.2997173739396763,1.3277424449041315,3
Nitrogen,Pseudoalteromonas sp (P2),10,6.72,0.9524704719832524,0.5499090833947007,3
Nitrogen,Pseudoalteromonas sp (P2),25,6.16,0.8401785524517986,0.48507731342539606,3
Phosphorous,Pseudoalteromonas sp (P2),0.1,0.528139882,0.0657707453872097,0.03797275755410786,3
Phosphorous,Pseudoalteromonas sp (P2),10,0.47781242966666665,0.031010882107382984,0.017904141132505318,3
Phosphorous,Pseudoalteromonas sp (P2),25,0.5839354326666667,0.14083443310562785,0.08131079786470259,3
S:P ratio,Pseudoalteromonas sp (P2),0.1,0.41919243900000003,0.057460443792217306,0.033174802691192024,3
S:P ratio,Pseudoalteromonas sp (P2),10,0.3942408473333333,0.07193677850070324,0.041532718432015496,3
S:P ratio,Pseudoalteromonas sp (P2),25,0.45058617133333334,0.09586887874011102,0.05534992294751069,3
Sulfur,Pseudoalteromonas sp (P2),0.1,0.21986486533333335,0.026929363758103474,0.015547675414846394,3
Sulfur,Pseudoalteromonas sp (P2),10,0.18877829999999998,0.03859712663124377,0.022284061450494663,3
Sulfur,Pseudoalteromonas sp (P2),25,0.25493931849999996,0.05943926521178665,0.042029907499999984,2
C:N ratio,R.pomeroyi,0.6,3.9792576947142857,0.35118512731057483,0.1327355015726198,7
C:N ratio,R.pomeroyi,2,4.203470435,0.10539099918244324,0.05269549959122162,4
C:N ratio,R.pomeroyi,10,4.106196719428572,0.055997288214655244,0.02116498552999798,7
C:N ratio,R.pomeroyi,25,4.1970802670000005,0.31028189300745285,0.17914133445251956,3
C:N ratio,R.pomeroyi,50,4.195337491,0.4572819383023841,0.18668456957195,6
Carbon,R.pomeroyi,0.6,18.5,4.222163742285071,1.5958278938114434,7
Carbon,R.pomeroyi,2,15.325,1.4221462653327888,0.7110731326663944,4
Carbon,R.pomeroyi,10,17.84285714285714,3.653700016356544,1.380968801216006,7
Carbon,R.pomeroyi,25,14.1,0.43588989435406683,0.25166114784235805,3
Carbon,R.pomeroyi,50,15.1,0.469041575982343,0.19148542155126766,6
Nitrogen,R.pomeroyi,0.6,4.675714285714285,1.0720052416360837,0.4051798962181116,7
Nitrogen,R.pomeroyi,2,3.645,0.3077336510685823,0.15386682553429115,4
Nitrogen,R.pomeroyi,10,4.3428571428571425,0.8734550987450984,0.33013499609441366,7
Nitrogen,R.pomeroyi,25,3.3666666666666667,0.15044378795195668,0.08685876147196916,3
Nitrogen,R.pomeroyi,50,3.6366666666666667,0.4257542327055207,0.17381343765978255,6
Phosphorous,R.pomeroyi,0.1,0.21296775633333334,0.02765738440850849,0.015967998333333337,3
Phosphorous,R.pomeroyi,2,0.14433775175,0.06064018111631636,0.03032009055815818,4
Phosphorous,R.pomeroyi,10,0.21072299633333333,0.011905566884071933,0.006873682245374025,3
Phosphorous,R.pomeroyi,50,0.243093523,0.03313660661229512,0.019131428747639324,3
S:P ratio,R.pomeroyi,0.1,0.8173895600000001,0.07326210747557965,0.05180413300000002,2
S:P ratio,R.pomeroyi,2,1.081660561,0.47596708355185596,0.23798354177592798,4
S:P ratio,R.pomeroyi,10,0.582340259,0.09880989558797997,0.05704791981631905,3
S:P ratio,R.pomeroyi,50,0.7077266673333333,0.1181921735307658,0.0682382832040946,3
Sulfur,R.pomeroyi,0.1,0.181844471,0.0438750240068978,0.031024327,2
Sulfur,R.pomeroyi,2,0.1349090925,0.016437432972503007,0.008218716486251504,4
Sulfur,R.pomeroyi,10,0.123410978,0.026520379091852796,0.015311548007692136,3
Sulfur,R.pomeroyi,50,0.172872894,0.04408005829266867,0.025449633521166654,3
